tradersdream	4x	1100x960	240669	240669	0x25c5306951f4a9ee	OK
tradersdream	16x	550x480	58992	58992	0x674d0de3c5f1725f	OK
twolakes	normal	2100x1840	3426935	3426935	0x16ab7de976d5c525	OK
twolakes	4x	1050x920	853578	853578	0x634e56a39a0ca20c	OK
twolakes	16x	525x460	211859	211859	0x636bf69365f0d52d	OK
unitedstates	normal	2800x1548	2585893	1868914	0x0357b1ee80165d62	OK
unitedstates	4x	1400x774	634009	458417	0x02a764a7a6ca0061	OK
unitedstates	16x	700x387	152988	110663	0x4b8d71c888f5b795	OK
venice	normal	2000x1500	823860	823860	0xf5a72510a75bbb5a	OK
venice	4x	1000x750	198423	198423	0x5f7a95315331463a	OK
venice	16x	500x375	46052	46052	0x317a1be7a25b1e97	OK
warshipwarship	normal	3000x1396	1122343	1122343	0x27ec0ee2f3c05950	OK
warshipwarship	4x	1500x698	279822	279822	0x417bd5872c9f3b37	OK
warshipwarship	16x	750x349	68553	68553	0x6653851245231f8a	OK
world	normal	2000x1000	651569	651569	0xf46bd55d2054841a	OK
world	4x	1000x500	158068	158068	0x5d20f2442658b8d6	OK
world	16x	500x250	37575	37575	0x60c1526fdef44570	OK
worldinverted	normal	2500x1248	1561762	1561762	0xc644359365e27974	OK
worldinverted	4x	1250x624	381499	381499	0xa31396a9df10c554	OK
worldinverted	16x	625x312	91870	91870	0x98fb25edaac44743	OK
yellowsea	normal	1500x1152	1042745	1042745	0xf8cc06a9bc164a79	OK
yellowsea	4x	750x576	258545	258545	0xf6795ec18aefa66b	OK
yellowsea	16x	375x288	63926	63926	0x327b366239475a1b	OK
yenisei	normal	1200x1500	1207315	1207315	0x6ee8fb77f99cb14a	OK
yenisei	4x	600x750	294828	294828	0xf32f5a849f98d0b0	OK
yenisei	16x	300x375	70740	70740	0x7b601bb5c9fe3620	OK
