# ofcuda_matrix cell onion n=488 nations=0 ticks=60
# engine oracle /opt/data/workspaces/skg/ofcuda_matrix/out/matrix/oracle/onion_n488_nat0_t60.dump
# spawn init    /opt/data/workspaces/skg/ofcuda_matrix/out/matrix/refs/onion_a488_nat0.init.txt
# map          /opt/data/workspaces/skg/openfront-ai/openfront/resources/maps/onion (512x512, land 210555 from BYTES)
# engine land from manifest 210555
### INIT (engine spawn output vs the CUDA spawn/init dump)
init_plane_hash 0x0544019e73d55172 engine_boundary0_hash 0x0544019e73d55172 match yes
per-player owned sets match: yes
engine boundary0 owned_total 15655, port plane owned 15655
BOT 314 sid=316 id=swknlr19 spawn_tile=-1 n_owned=0
BOT 315 sid=317 id=68tli42a spawn_tile=56864 n_owned=52
BOT 316 sid=318 id=43wn7pvq spawn_tile=-1 n_owned=0
BOT 317 sid=319 id=ssod81st spawn_tile=-1 n_owned=0
BOT 318 sid=320 id=9fudx3o3 spawn_tile=-1 n_owned=0
BOT 319 sid=321 id=cm4ig7bz spawn_tile=-1 n_owned=0
BOT 320 sid=322 id=ajwm3pcu spawn_tile=-1 n_owned=0
BOT 321 sid=323 id=wcn2fdks spawn_tile=-1 n_owned=0
BOT 322 sid=324 id=0a4r00hz spawn_tile=-1 n_owned=0
BOT 323 sid=325 id=548y287t spawn_tile=-1 n_owned=0
BOT 324 sid=326 id=rkqmpoqo spawn_tile=-1 n_owned=0
BOT 325 sid=327 id=nrv83khf spawn_tile=-1 n_owned=0
BOT 326 sid=328 id=00wyr0st spawn_tile=-1 n_owned=0
